path,source_stage,title,description,rows,columns,sha256
data/core/nation_exposure_enriched.csv,core exposure pipeline,National AI exposure with enrichment variables,"Country-level structural AI exposure scores with coverage, reliability, income, wage, labor-share, and white-collar variables.",141,31,b6370b8ac5c37f0ec0bd759a55ffff6971864728642c83faeeedd7600e8bb2b8
data/core/nation_exposure_by_sex.csv,core exposure pipeline,National AI exposure by sex,Country-level structural AI exposure scores by sex and total workforce where measured.,441,12,9cc8b0c370552cd941ec6151955b96acdbf9e319d47b4142c688765f9e1f2b19
data/core/isco2_exposure_scores.csv,core exposure pipeline,ISCO-08 2-digit exposure scores,Occupation-level exposure scores aggregated to ISCO-08 2-digit occupations.,40,4,e3df98149d53ff6659f40e1b47f66c62f4420022768d3c3501378471a0d06736
data/mechanisms/gender_gap.csv,mechanism analysis pipeline,Gender exposure gap,Country-level male and female exposure estimates and measured gender exposure gaps.,147,10,6aaf6c4ccbae71dddf045da200e4635f667afe57b1a726d93c2947c5e4f86529
data/mechanisms/gender_wc_decomposition.csv,mechanism analysis pipeline,Gender gap white-collar decomposition,Country-level decomposition used to quantify how much white-collar composition explains measured gender exposure gaps.,134,10,a70adf2b146dc152c496405566230811573cdd723fc958dad6b96709c617e70b
data/mechanisms/gender_wcs_decomposition.csv,mechanism analysis pipeline,Gender gap white-collar plus sales decomposition,Country-level decomposition used to quantify how much white-collar plus sales composition explains measured gender exposure gaps.,132,21,bc8b219b44a5c614e03697ddfb166def6b2321ea9b996db5360fa59ac0cf9481
data/mechanisms/white_collar_analysis.csv,mechanism analysis pipeline,White-collar exposure decomposition,Country-level white-collar shares and white-collar / blue-collar exposure components.,141,7,4cb0f46df517afc0c6add7dcf15b0dc68ac592eaa430bb94e5834407333f583e
data/mechanisms/wc_bc_sensitivity.csv,mechanism analysis pipeline,White-collar boundary sensitivity,Sensitivity of the exposure relationship to alternative white-collar / blue-collar occupational boundaries.,3,6,6d431b9a5793a39667d8dee4f3d07e5e2b5cfc1caa6f2fcc1adb9ba7af140863
data/mechanisms/wage_weighted_exposure.csv,mechanism analysis pipeline,Wage-weighted exposure,Country-level exposure estimates with available ISCO wage weighting.,113,7,b8efefd94c3153d713110e6a8c4be27afe8a3abee0ddecef67c670ec3449ac32
data/mechanisms/labor_share.csv,mechanism analysis pipeline,Labor share enrichment,Labor-share data used to contextualize exposure through national labor dependence.,124,5,571755ae2c500161062ea690dbdd59f7c2b17917a65537def1e4599c71031656
